Complainant,Title,depth_index,Violator
EC,US - Measures Affecting Textiles and Apparel Products (II),1,United States
Canada,EC - Patent Protection for Pharmaceutical and Agricultural Chemical Products,1,EC
Brazil,EC - Measures Affecting Differential and Favourable Treatment of Coffee,1,EC
EC,Argentina - Definitive Anti-Dumping Measures on Imports of Drill Bits from Italy,1,Argentina
"Honduras, Mexico, Guatemala, Panama, the US","EC - Regime for the Importation, Sale and Distribution of Bananas",1,EC
Czech Republic,Hungary - Safeguard Measure on Imports of Steel Products from the Czech Republic,1,Hungary
US,Argentina - Measures Affecting Imports of Footwear,3,Argentina
Canada,US - Countervailing Duty Investigation with Respect to Live Cattle from Canada,1,United States
India,South Africa - Anti-Dumping Duties on Certain Pharmaceutical Products from India,1,South Africa
US,Argentina - Patent Protection for Pharmaceuticals and Test Data Protection for Agricultural Chemicals,1,Argentina
US,Argentina - Certain Measures on the Protection of Patents and Test Data,1,Argentina
US,EC - Measures Relating to the Development of a Flight Management System,1,EC
US,France - Measures Relating to the Development of a Flight Management System,1,France
Canada,US - Reclassification of Certain Sugar Syrups,1,United States
Thailand,Colombia - Safeguard Measure on Imports of Plain Polyester Filaments from Thailand,2,Colombia
EC,Mexico - Measures on Import Licensing and Minimum Import Prices,1,Mexico
Costa Rica,Trinidad and Tobago - Certain Measures Affecting Imports of Pasta from Costa Rica,1,Trinidad and Tobago
EC,US - Section 337 of the Tariff Act of 1930 and Amendments Thereto,1,United States
Colombia,Nicaragua - Measures Affecting Imports from Honduras and Colombia,3,Nicaragua
Brazil,Brazil - Argentina - Transitional Safeguards Measures on Certain Imports of Woven Fabrics of Cotton ad Cotton Mixtures originating in Brazil,2,Brazil
Mexico,Ecuador - Definitive Anti-Dumping Measure on Cement from Mexico,1,Ecuador
EC,Chile - Measures Affecting the Transit and Importation of Swordfish,2,Chile
US,Philippines - Measures Affecting Trade and Investment in the Motor Vehicle Sector,3,Philippines
US,Brazil - Measures on Minimum Import Prices,1,Brazil
US,Romania - Measures on Minimum Import Prices,1,Romania
US,Brazil - Measures Affecting Patent Protection,3,Brazil
EC,US - Section 306 of the Trade Act of 1974 and Amendments Thereto,1,United States
Honduras,Nicaragua - Measures Affecting Imports from Honduras and Colombia,1,Nicaragua
US,Mexico - Measures Affecting Trade in live Swine,1,Mexico
Thailand,Egypt - import Prohibition on Canned Tuna with Soybean Oil,1,Egypt
Brazil,Turkey - Anti-Dumping Duty on Steel and Iron Pipe Fitting,1,Turkey
Brazil,EC - Measures Affecting Soluble Coffee,1,EC
US,Belgium - Administration of Measures Establishing Custom Duties for Rice,4,Belgium
EC,US - Definitive Safeguard Measures on Imports of Steel Wire Rod and Circular Welded Quality Line Pipes,3,United States
Korea,Philippines - Anti-Dumping Measures Regarding Polypropylene Resins from Korea,1,Philippines
Brazil,Mexico - Provisional Anti-Dumping Measure on Electric Transformers,1,Mexico
Brazil,US - Countervailing Duties on Certain Carbon Steel Products from Brazil,1,United States
Guatemala,Chile - Price Band and Safeguard Measures Relating to Certain Agricultural Products,1,Chile
US,EC - Tariff-Rate Quota on Corn Gluten Feed from the US,1,EC
Brazil,US - US Patent Code,1,United States
EC,US - Anti-Dumping Duties on Seamless Pipe from Italy,1,United States
Argentina,Chile - Provisional Safeguard Measure on Mixture of Edible Oils,1,Chile
Chile,Peru - Taxes on Cigarettes,3,Peru
Colombia,Chile - Safeguard Measures on Sugar,1,Chile
India,Brazil - Anti-Dumping Duties on Jute Bags from India,1,Brazil
Colombia,Chile - Safeguard Measures and Modification of Schedules Regarding Sugar,1,Chile
Chile,Mexico - Measures Affecting the Import of Matches,1,Mexico
India,Argentina - Measures Affecting the Import of Pharmaceutical Products,1,Argentina
Poland,Slovakia - Safeguard Measure on Imports of Sugar,1,Slovakia
Ecuador,Turkey - Certain Import Procedures for Fresh Fruit,3,Turkey
Brazil,US - Certain Measures Regarding Anti-Dumping,1,United States
Hungary,Romania - Import Prohibition on Wheat and Wheat Flour,1,Romania
Thailand,EC - Generalized System of Preferences,2,EC
Canada,US - Provisional Anti-Dumping Measure on Imports of Certain Softwood Lumber from Canada,1,United States
Brazil,US - Equalizing Excise Tax Imposed By Florida on Processed Orange and Grapefruit Products,2,United States
Chile,Peru - Tax Treatment on Certain Imported Products,2,Peru
Hungary,Turkey - Import Ban on Pet Food from Hungary,1,Turkey
US,EC - Provisional Safeguard Measures on Imports of Certain Steel Products,3,EC
EC,US - Sunset Reviews of Anti-Dumping and Countervailing Duties on Certain Steel Products from France and Germany,1,United States
Argentina,EC - Measures Affecting Imports of Wine,1,EC
Philippines,Australia - Certain Measures Affecting the Importation of Fresh Pineapple,1,Australia
Argentina,Peru - Provisional Anti-Dumping Duties on Vegetable Oils from,1,Peru
Chinese Taipei,US - Definitive Safeguard Measures on Imports of Certain Steel Products,1,United States
US,Venezuela - Import Licensing Measures on Certain Agricultural Products,1,Venezuela
Argentina,Chile - Definitive Safeguard Measure on Imports of Fructose,1,Chile
EC,India - Import Restrictions Maintained under the Export and Import Policy 2002-2007,1,India
Mexico,US - Countervailing Duties on Steel Plate from Mexico,3,United States
Mexico,US - Anti-Dumping Measures on Cement from Mexico,2,United States
Nicaragua,Mexico - Certain Measures Preventing the Importation of Black Beans from Nicaragua,1,Mexico
EC,Australia - Quarantine Regime for Imports,2,Australia
Turkey,South Africa - Definitive Anti-Dumping Measures on Blanketing from Turkey,1,South Africa
Poland,Czech Republic - Additional Duty on Imports of Pig-Meat from Poland,1,Czech Republic
Hungary,Croatia - Measure Affecting Imports of Live Animals and Meat Products,1,Croatia
Guatemala,Mexico - Certain Pricing Measures for Customs Valuation and other Purposes,1,Mexico
Honduras,Dominican Republic - Measures Affecting the Importation of Cigarettes,1,Dominican Republic
Chile,Ecuador - Definitive Safeguard Measure on Imports of Medium Density Fibreboard,1,Ecuador
EC,India - Anti-Dumping Measures on Imports of Certain Products from the EC and/or member States,1,India
US,Egypt - Measures Affecting Imports of Textile and Apparel Products,1,Egypt
Bangladesh,India - Anti-Dumping Measure on Batteries from Bangladesh,1,India
Korea,EC - Aid for Commercial Vessels,1,EC
US,China - Value-Added Tax on Integrated Circuits,1,China
Canada,US - Determination of the ITC in Hard Red Spring Wheat from Canada,2,United States
Canada,US - Reviews of Countervailing Duty on Softwood Lumber from Canada,1,United States
India,EC - Anti-Dumping Duties on Certain Flat Rolled Iron or Non-Alloy Steel Products from India,1,EC
EC,Mexico - Provisional Countervailing Measures on Olive Oil from the EC,1,Mexico
EC,US - Measures Affecting Trade in Large Civil Aircraft,2,United States
